model,G_peak,t_G_peak,I_peak,t_I_peak,AUC_G,AUC_I,HL_G,HL_I
minimal,386.9526902315791,10.5,588.0865061113661,17.5,1857.668391743064,17788.33721869856,5.800000000000001,10.600000000000001
integrated,95.5267013727357,18.0,35.13454698614256,21.1,47.21896583765793,738.0537341726571,3.0,13.5
sturis,174.04151968062155,74.8,67.04600502633883,143.70000000000002,10020.5082203554,16712.453735230265,52.2,52.900000000000006
