scale_second_phase_gain,I_peak,AUC_I
0.5,31.595683197442604,670.9698857287699
0.75,33.39993830578522,705.2319219141588
1.0,35.13454698614256,738.0537341726571
1.25,36.7948412754847,769.5513500194993
1.5,38.38360515454687,799.8580085430298
