scale_n,AUC_G,AUC_I
0.5,1769.183587497492,33687.646135266536
0.75,1813.6808537957056,23202.265115243594
1.0,1857.668391743064,17788.33721869856
1.25,1901.29591266872,14485.179498448913
1.5,1944.6818723982879,12260.046536315649
